# vx,ax
2.6436448141397899,-0.1587808437623331
2.6376329538759986,-1.8622195416547735
2.5660740193500318,-1.6630218673928123
2.5004385466131396,0.0000000000000000
2.5004385466131396,0.0000000000000000
2.5004385466131396,0.5182753321104070
2.5210714587669560,1.0474188772025339
2.5622736754179845,2.0982849122786926
2.6428801542808271,1.7021192533455987
2.7065063255715276,-3.2055102620670555
2.5853820716755269,-2.3316091238549501
2.4935847194507237,-1.6843491325782285
2.4251325880950465,-1.5511396825777028
2.3603172301369084,-3.0319799451367606
2.2281861302850796,-1.9955938996090352
2.1367658648947532,0.0000000000000000
2.1367658648947532,0.0000000000000000
2.1367658648947532,1.6154377833774318
2.2110577556464412,3.0309544795151346
2.3441107785429853,1.8446678829867493
2.4214777094883360,0.7059710804199513
2.4504535167156889,1.2502789340173850
